CV Test Sol
2.2634648497225087 1.3249898649347744 "[2 7 5 1 3 7 7 2 4 7 7 1 4 7 1 4 2 6 3 1 7 2 2 3 4 1 2 1 4 3 1 1 6 6 2 1 6
 6 5 1 5 4 2 3 2 4 2 3 2 4 7 7 2 5 5 1 6 1 1 7 1 4 1 5 2 1 1 6 2 3 4 6 2 1
 2 7 7 0 2 2 4 0 6 1 2 5 2 2 6 4 0 0 6 4 4 5 2 4 7 3 4 4 1 1 5 0 2 3 0 7 5
 4 0 2 6 3 4 6 6 4 5 5 0 6 5 2 5 0 4 4 2 5 6 0 5 0 7 2 5 7 1 4 1 5 7 3 2 1
 1 7 3 6 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 0]"
1.7279396819797357 1.452367783355463 "[2 3 1 1 7 1 3 1 1 7 7 4 4 3 1 3 2 7 7 4 5 1 5 1 4 1 6 6 7 2 1 1 2 5 4 1 3
 6 3 1 1 6 1 3 4 2 3 5 5 6 2 1 1 1 2 1 6 5 7 5 3 1 4 6 4 1 4 2 2 1 5 1 7 1
 4 1 2 0 1 2 5 7 4 4 7 4 4 5 7 1 3 0 3 0 6 6 2 7 6 7 4 1 4 1 0 0 3 6 2 2 0
 4 3 2 1 1 7 4 7 4 2 5 3 1 2 4 5 7 0 7 0 6 2 7 6 7 0 0 4 1 5 0 3 4 4 1 7 2
 6 6 4 3 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1
 1 1 1 1 1 1]"
2.8693585627152323 1.7011469342979226 "[1 6 1 7 2 2 2 7 5 7 6 6 7 3 3 4 5 5 2 5 1 6 7 2 3 4 3 1 7 1 3 4 5 4 6 1 1
 6 6 6 2 3 1 6 3 3 4 4 1 2 4 4 5 3 1 1 1 5 4 6 5 7 2 3 1 4 1 1 5 2 1 7 4 1
 1 7 3 7 6 7 2 0 3 3 6 1 0 7 6 2 5 1 0 7 7 7 2 5 4 6 6 1 7 2 5 6 3 3 0 5 3
 7 3 0 3 0 6 2 5 7 3 4 4 3 3 1 3 2 4 6 6 4 1 5 2 4 4 1 7 3 5 4 5 7 4 7 7 0
 5 1 6 7 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
